ae_competentAuthority,ae_homeMemberState,ae_lei_name,ae_lei,ae_lei_cou_code,ae_commercial_name,ae_address,ae_website,ac_authorisationNotificationDate,ac_authorisationEndDate,ae_exemption48_4,ae_exemption48_5,ae_authorisation_other_emt,ae_DTI_FFG,ae_DTI,wp_url,wp_authorisationNotificationDate,wp_comments,wp_lastupdate
Czech National Bank (CNB),CZ,Payment Corporation SE,315700IJDQF91J9C8B68,CZ,Stable Labs,"Krizikova 710/30, Karlin, 18600 Prague 8, Czech Republic",https://stablelabs.co/,26/04/2017,,YES,YES,Electronic money institution,,,https://stablelabs.co/whitepaper0.pdf,17/05/2025,"EMT is issued under the limited network exception. It is not offered to the general public, but is used solely within a clearly defined, functionally limited ecosystem.",30/10/2025
Czech National Bank (CNB),CZ,Payment Corporation SE,315700IJDQF91J9C8B68,CZ,Stable Labs,"Krizikova 710/30, Karlin, 18600 Prague 8, Czech Republic",https://stablelabs.co/,26/04/2017,,YES,YES,Electronic money institution,,,https://stablelabs.co/whitepaper.pdf,20/09/2025,"EMT is issued under the limited network exception. It is not offered to the general public, but is used solely within a clearly defined, functionally limited ecosystem.",30/10/2025
Czech National Bank (CNB),CZ,Payment Corporation SE,315700IJDQF91J9C8B68,CZ,Stable Labs,"Krizikova 710/30, Karlin, 18600 Prague 8, Czech Republic",https://stablelabs.co/,26/04/2017,,YES,YES,Electronic money institution,,,https://stablelabs.co/whitepaper1.pdf,16/10/2025,"EMT is issued under the limited network exception. It is not offered to the general public, but is used solely within a clearly defined, functionally limited ecosystem.",30/10/2025
Federal Financial Supervisory Authority (BaFin),DE,AllUnity GmbH,3912007G8L8CD3HFIV26,DE,AllUnity GmbH,"Sandweg 94, 60316 Frankfurt am Main",https://allunity.com/,20/06/2026,,No,No,Electronic money institution,,8F9FV1RW0 | 4T8Q7PXDR | 72FFN7360 | R21VFQH41 | DP8LJM6WW,https://allunity.com/whitepaper,20/06/2025,EURAU,13/02/2026
Federal Financial Supervisory Authority (BaFin),DE,AllUnity GmbH,3912007G8L8CD3HFIV26,DE,AllUnity GmbH,"Sandweg 94, 60316 Frankfurt am Main",https://allunity.com/,19/01/2026,,No,No,Electronic money institution,,VP84J2JSS | D1PFLVZDZ ,https://allunity.com/whitepaper,19/01/2026,CHFAU,23/02/2026
Federal Financial Supervisory Authority (BaFin),DE,AllUnity GmbH,3912007G8L8CD3HFIV26,DE,AllUnity GmbH,"Sandweg 94, 60316 Frankfurt am Main",https://allunity.com/,08/05/2026,,No,No,Electronic money institution,,HTKFL04WZ | 6TR5F3KKF | X10CDHLZQ | 7BN8BLGZH | VTFCC12GK ,https://allunity.com/whitepaper,06/05/2026,SEKAU,13/05/2026
Federal Financial Supervisory Authority (BaFin),DE,AllUnity GmbH,3912007G8L8CD3HFIV26,DE,AllUnity GmbH,"Sandweg 94, 60316 Frankfurt am Main",https://allunity.com/,19/01/2026,,No,No,Electronic money institution,,VP84J2JSS | D1PFLVZDZ | 35PTC5Z63 | GCN4ZMN5R | PGBKBZRH2 | 5Z0LL4J7S,https://allunity.com/whitepaper,09/06/2026,"CHFAU, V1.2",11/06/2026
Finanstilsynet,DK,Eurodollar ApS,8945001XWFMRUTCAK575,DK,Eurodollar,"Gammel Kongevej 120, 1. tv, KØBENHAVN ,DK",www.eurodollar.fi,17/02/2025,,No,No,Electronic money institution,,,EMT_NO_WP,10/04/2025,,
Finanssivalvonta (FIN-FSA),FI,Paxos Issuance Europe Oy,743700KYSSTKZYGEUF50,FI,Paxos EU,Meritullinkatu 1 B 00170 HELSINKI,https://www.paxos.com/eu,23/11/2022,,No,No,Electronic money institution,,,https://www.membrane.fi/whitepapers/EUROe.html,29/06/2024,,04/07/2025
Finanssivalvonta (FIN-FSA),FI,Paxos Issuance Europe Oy,743700KYSSTKZYGEUF50,FI,Paxos EU,Meritullinkatu 1 B 00170 HELSINKI,https://www.paxos.com/eu,23/11/2022,,No,No,Electronic money institution,,,https://www.membrane.fi/whitepapers/eUSD.html,29/06/2024,,04/07/2025
