« THIS FILE IS NOT THE TRACKER. NOTHING HERE IS A CORPUS FACT. »
« It is a SEVEN-DAY LONGITUDINAL RE-READ of the same single aggregator crossed on 2026-08-07: CryptoJobsList, https://cryptojobslist.com/crypto-layoffs, re-fetched 2026-08-14 HTTP 200, page footer 'Updated August 2026'. Companion file: _aggregator-crossref-2026-08-07.csv (do not delete it — the delta below is only meaningful against it). »
« PURPOSE: the 08-07 file measured corpus recall ONCE. A single measurement of an instrument tells you nothing about the instrument. This is the second measurement, and its main product is an INTEGRITY TEST of the aggregator, not a list of firms. »
« STANDING RULES UNCHANGED: per-firm figures are NOT imported as corpus rows; the source is community-submittable ('Submit a layoff') and self-describes as 'public announcements, news and community reports'; a NET-NEW-CANDIDATE may enter 2026-layoff-tracker.csv only after its OWN primary/near-primary source is fetched and read. NONE HAVE BEEN, on either date. »
«  »
« ===== HEADLINE 1: THE AGGREGATOR PASSES THE ARITHMETIC-INTEGRITY TEST THAT ROOTDATA FAILED. ===== »
« 2026-08-07: 54 rows / 50 companies / 7,294+ jobs.  2026-08-14: 56 rows / 52 companies / 7,339+ jobs. »
« DELTA: +2 rows, +2 companies, +45 jobs. The two new rows are Bitwise (-25) and Certora (-20). 25 + 20 = 45 EXACTLY. »
« The headline total moved by precisely the sum of the two new rows' headcounts, and NO PRIOR ROW WAS REVISED. This is the opposite of _rootdata-dead-projects-instrument-2026-08-13.md, whose count was a RANGE that moved DOWNWARD on verification (~110 late-July > 99-101 early-August). »
« CONCLUSION FOR PHASE 2: CryptoJobsList is a monotonic append-only ledger over this 7-day window and may be described as such, with the window stated. It is still NOT a primary source and still NOT a denominator of the industry. »
«  »
« ===== HEADLINE 2: CORPUS RECALL AGAINST THIS ONE PUBLIC LIST IMPROVED, AND THIS IS THE SECOND POINT ON THAT SERIES. ===== »
« 2026-08-07: corpus 19 rows / aggregator 54 = 35%.  2026-08-14: corpus 24 rows / aggregator 56 = 43%. »
« +8pp in seven days. Honest reading: the corpus added 5 rows while the aggregator added 2, so the gap closed from BOTH ends. »
« THIS IS RECALL AGAINST ONE NAMED PUBLIC LIST. IT IS NOT COVERAGE OF THE INDUSTRY. Escalation (v) of the 08-13 record stands: Phase 2 prints primary-verified rows with NO industry coverage percentage attached. It MAY print this ratio, named as what it is, with both dates. »
«  »
« ===== HEADLINE 3: A THIRD DATE FOR BITWISE. ===== »
« Corpus row 24 carries 2026-08-11 [VERIFY] with two candidates already recorded (Bloomberg slug 08-11; captured prose 'published on Wednesday' = 08-12). The aggregator dates the same event 2026-08-07. »
« Three dates, one event, and they are not obviously in conflict: 08-07 is plausibly the ANNOUNCEMENT and 08-11/08-12 the REPORTING. This is watch (aa) — announcement vs effective vs report dates — in its cleanest observed instance. RECORDED, NOT RESOLVED. »
« The aggregator INDEPENDENTLY corroborates the corpus's headcount (-25) and percentage (-14%), both of which the corpus derived from 'approximately 180 -> approximately 155'. That corroboration is worth more than the date disagreement costs. »
«  »
status,firm,cohort,agg_date_2026_08_14,agg_jobs_cut,agg_pct,agg_reason,agg_source_col,delta_vs_2026_08_07,note
NET-NEW-ROW-IN-AGGREGATOR,Bitwise Asset Management,PERIMETER,2026-08-07,-25,14%,Other,linkedin.com/Bloomberg,ABSENT ON 08-07,"NOW HELD BY THE CORPUS as row 24 (added 08-13, dated 2026-08-11 [VERIFY]). Aggregator supplies a THIRD date, 2026-08-07, and corroborates -25 / -14%. Appended to the row's notes as a third recorded candidate. No date asserted."
NET-NEW-ROW-IN-AGGREGATOR,Certora,PERIMETER,2026-06-18,-20,30%,Market conditions,thecoinformer.com,ABSENT ON 08-07,"*** THE ONLY GENUINELY NET-NEW CANDIDATE THIS RE-READ PRODUCED. *** A formal-verification firm, not a marketing-facing one. Single-sourced to thecoinformer.com. Dated 2026-06-18 — i.e. the aggregator BACKFILLED a two-month-old event, which is evidence its append order is not chronological and that 'new to the list' does not mean 'new event'. [VERIFY] before any entry."
UNCHANGED-CONFLICT,FalconX,PERIMETER,2026-07-15,,-10%,Restructuring,Bloomberg,UNCHANGED,"The 19-day conflict against the corpus's 2026-08-03 is STABLE, not drifting — same date on both reads, same outlet, same percentage. Stability makes the conflict more interesting, not less: it is not aggregator noise. The corpus row remains the weakest-provenance row in the tracker. [VERIFY] still urgent."
UNCHANGED-CONFLICT,Coinbase,TRACKED S1,2026-03-05,,-18%,Market conditions,Blockworks,UNCHANGED,"STILL THE HIGHEST-VALUE UNHELD ROW, and now carried across two independent reads a week apart. A Coinbase contraction two months before the 05-05 round the corpus treats as Coinbase's 2026 event, and LARGER. [VERIFY] at Blockworks."
UNCHANGED-CONFLICT,Gemini,TRACKED S1,2026-03-10,,-30%,Market conditions,Coinpedia/Bloomberg+10,UNCHANGED,"Bears on the corpus's open '~-30% YTD [VERIFY]'. Unchanged across both reads."
UNCHANGED,Kraken,TRACKED S1,2026-05-16,-150,-5%,AI pivot,Bloomberg.com,UNCHANGED,"One-day conflict vs corpus 2026-05-15. Corpus better sourced. No change."
UNCHANGED,Bybit,TRACKED S1,2026-06-23,-15,-20%,Market conditions,NONE,UNCHANGED,"STILL internally inconsistent (-15 at -20% implies a 75-person firm) and STILL has an EMPTY source column after seven days. DO NOT ENTER. Its persistence is the clearest single demonstration that this aggregator does not retire unvetted rows."
UNCHANGED,OKX,TRACKED S1,2026-01-09,-10,-33%,Restructuring,CoinDesk/CryptoRank+4,UNCHANGED,"Same arithmetic smell as Bybit but CoinDesk-sourced. OKX remains the Tier-1 firm the class-1 instrument cannot see at all. [VERIFY]."
UNCHANGED,Optimism / OP Labs,TRACKED S2,2026-03-12,,-20% / -20%,Market conditions / Restructuring,yahoo+1 / CryptoTimes+4,UNCHANGED,"BOTH entity names still carried on the SAME DATE — the probable double-count identified on 08-07 has NOT been reconciled by the aggregator in seven days. Direct evidence for watch (u): name-keyed sweeps are defeated by entity naming, and this list does not self-deduplicate."
UNCHANGED,AscendEX,PERIMETER,2026-07-10,,-100%,Regulatory,CoinPedia/Ascendex.com,UNCHANGED,"STILL the ONLY 2026 row in the entire aggregator whose stated reason is 'Regulatory', and still an exchange shutdown nine days after the MiCA deadline. Unheld by the corpus for a second consecutive read. Now cross-reads against the VARA capture of the same date (corpus/regulator-filings/vara-enforcement-register-at-source-2026-08-14.md): the corpus's post-deadline narrative is 'exits, not enforcement', and this row would be an exit the aggregator attributes to regulation. [VERIFY] at ascendex.com first-party — this is the highest-value PERIMETER promotion available."
