ae_competentAuthority,ae_homeMemberState,ae_lei_name,ae_lei,ae_lei_cou_code,ae_commercial_name,ae_website,ae_infrigment,ae_reason,ae_decision_date,ae_comments,ae_lastupdate
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Dobibo,,,Dobibo,https://dobibo.com|https://dobibo1.com|https://dobibo2.com,No,None,12/02/2025,,18/02/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Fameexn,,,Fameexn,https://fameexn.top|https://fameexn.com,No,None,12/02/2025,,18/02/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Spazio Finanziario,,,Spazio Finanziario,www.spaziofinanziario.com,No,None,04/03/2025,,06/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,HTXcoin-az,,,HTXcoin-az,https://m.htxcoin-az.com,No,None,04/03/2025,,06/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Stock Credit Wallet,,,Stock Credit Wallet,https://stockcreditwallet.com,No,None,04/03/2025,,06/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Paycraftv.top - Paycraftn.top,,,Paycraftv.top - Paycraftn.top,https://paycraftv.top|https://paycraftn.top,No,None,04/03/2025,,06/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,CoinBank Exchange,,,CoinBank Exchange,https://coinbankexchange.icu,No,None,04/03/2025,,06/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,AKQ,,,AKQ,https://akqa715.it|https://AKQ1181.it,No,None,19/03/2025,,20/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Fameexn,,,Fameexn,https://fameexe.top|https://fameexj.top,No,None,19/03/2025,,20/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,ArgonInternational,,,ArgonInternational,https://argonintgroup.com|https://cfd.argonintgroup.com,No,None,19/03/2025,,20/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Deroka UAB,,,Deroka UAB ,https://dtcoin.tech|https://dtwallet.io|https://forcedmarketcap.tech,No,None,26/03/2025,,27/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,DTSocialize Holding PLC,,,DTSocialize Holding PLC,https://dtsmoney.com|https://portal.dtsmoney.com,No,None,26/03/2025,,27/03/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Caa871,,,Caa871,https://caa871.it,No,None,01/04/2025,,03/04/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Sdf837,,,Sdf837,https://sdf837.it,No,None,01/04/2025,,03/04/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,SYBZ,,,SYBZ,https://sybzgroup.co,No,None,01/04/2025,,03/04/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Egplus.vip,,,Egplus.vip,https://egplus.vip,No,None,30/04/2025,,05/05/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Egalite.bond,,,Egalite.bond,https://egalite.bond,No,None,30/04/2025,,05/05/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Arbismart UAB,,,Arbismart UAB,https://arbismart.com|https://dashboard.arbismart.com,No,None,30/04/2025,,05/05/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Blockbyteq,,,Blockbyteq,https://blockbyteq.top,No,None,30/04/2025,,05/05/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Bvoxed,,,Bvoxed,https://bvoxed.com,No,None,21/05/2025,,22/05/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,BeratCoin,,,BeratCoin,https://btc6688.com,No,None,21/05/2025,,22/05/2025
Commissione Nazionale per le Societa e la Borsa (CONSOB),IT,Interersos-Interesosf,,,Interersos-Interesosf,https://interersosf.org|https://interersos.org,No,None,21/05/2025,,22/05/2025
