firm_slug,stratum,class1_status,evidence,upstream_feed_status,known_ats_or_careers_url,audit_date,notes
okx,1,NOT-IN-FEED,no job-postings CSV; no _absence.csv row; NOT present in prospects/scanner/config.json,ABSENT from scanner config (147 companies) — verified by direct read 2026-07-30,https://www.okx.com/en-us/join-us/openings,2026-07-30,"TIER-1 TRACKED EXCHANGE. tracked-firms.md: 'yes (EU entity); Strong MiCA-relevance'. Present in prospects-list.txt but NOT in the scanner's config.json companies dict, so it is never scanned and never errors. This IS a genuine upstream company-list gap and is the highest-priority of the four. Careers page is proprietary, so adding it means the chrome lane, not an API adapter."
securitize,4,NOT-IN-FEED,no job-postings CSV; no _absence.csv row; NOT present in scanner config.json,ABSENT from scanner config — verified by direct read 2026-07-30,https://job-boards.greenhouse.io/securitize,2026-07-30,Stratum-4 cohort member. Present in prospects-list.txt with a STANDARD GREENHOUSE BOARD (job-boards.greenhouse.io/securitize) but absent from scanner config.json. 22 greenhouse boards are already covered — this is a one-line config addition with no technical blocker. Cheapest fix in the audit.
relai,4,NOT-IN-FEED,no job-postings CSV; no _absence.csv row; NOT in scanner config.json; NOT in prospects-list.txt,ABSENT from scanner config AND from prospects-list.txt — verified 2026-07-30,,2026-07-30,Added to the cohort 2026-05-06 SPECIFICALLY for 'strong public posting velocity in DACH + IT' (tracked-firms.md). That posting velocity has never been captured because the firm exists in neither upstream list. Careers URL not yet resolved — resolve before adding.
rabby,3,NOT-IN-FEED,no job-postings CSV; no _absence.csv row; NOT in scanner config.json; NOT in prospects-list.txt,ABSENT from scanner config AND from prospects-list.txt — verified 2026-07-30,,2026-07-30,"Stratum-3 wallet. In neither upstream list. Careers URL not yet resolved. Lowest priority of the four (smallest firm, least MiCA surface), but it is a genuine cohort gap and should not be silently dropped."
arbitrum,2,IN-FEED-FLOW-LOSS,"no job-postings CSV, BUT scanner state/last-scan.json jobs_seen holds 3 qualifying roles at this firm's two slugs","IN scanner config: Arbitrum Foundation, ats=lever, slug=arbitrumfoundation. jobs_seen: lever:arbitrumfoundation 2026-05-08; lever:offchainlabs 2026-05-12 and 2026-06-10",https://jobs.lever.co/arbitrumfoundation,2026-07-30,"*** FLOW-REGISTER DEFECT, NOT A COVERAGE GAP. *** The upstream feed scanned this firm and its marketing roles PASSED the seniority/function filter on three dated occasions, all inside the report's rolling 12-month capture window. None reached the corpus, because daily-corpus-sync.py only writes roles that are OPEN at the moment of a run and the script did not exist until 2026-06-26. The roles closed before the corpus could see them. Both TRACKED slugs map to arbitrum in the sync script's alias table ('arbitrum foundation' and 'offchain labs'), so this is not an alias miss. Recoverable: jobs_seen holds the ATS job IDs and first-seen dates."
trust-wallet,3,IN-FEED-FLOW-LOSS,"no job-postings CSV, BUT jobs_seen holds 2 qualifying roles","IN scanner config: Trust Wallet, ats=ashby, slug=trust-wallet. jobs_seen: ashby:trust-wallet 2026-04-29 and 2026-06-23",https://trustwallet.com/careers,2026-07-30,"Same flow-register defect as arbitrum. Two qualifying marketing roles seen in-window (2026-04-29, 2026-06-23); neither in the corpus. The 06-23 role was open THREE DAYS before the sync script was created and still did not survive to the first run. Recoverable from jobs_seen job IDs."
sui,2,IN-FEED-BROKEN-SLUG,no job-postings CSV; no _absence.csv row; no fetch_error either,"IN scanner config: Sui Foundation, ats=ashby, slug='sui%20foundation' (URL-ENCODED SPACE), careers_url=https://jobs.sui.io/jobs",https://jobs.sui.io/jobs,2026-07-30,"*** THIRD FAILURE MODE: in the feed, but structurally unreachable, and SILENT ABOUT IT. *** The Ashby slug carries a URL-encoded space; Ashby slugs are hyphenated, so api.ashbyhq.com/posting-api/job-board/sui%20foundation is almost certainly not a real board. Contrast Chainlink Labs, whose bad Ashby slug produces a VISIBLE 404 in fetch_errors — Sui produces no error and no rows, which is consistent with a 200-with-empty response. Separately, the firm's actual board at jobs.sui.io is a GETRO board (same pattern as Solana), which the Ashby adapter cannot read regardless of slug. tracked-firms.md records '79 open roles per web3.career; three open IC marketing seats' — manually observed, never reproduced. Also the ONLY OVERLAP row in agency-overlap-matrix.csv. [VERIFY] the slug against Ashby before assuming which of the two defects dominates."
aptos,2,IN-FEED-TRUE-ABSENCE,no job-postings CSV; no _absence.csv row; no fetch_error; no entry in jobs_seen,"IN scanner config: Aptos Labs, ats=greenhouse, slug=aptoslabs — scanned successfully, zero roles passing the marketing/seniority filter",https://job-boards.greenhouse.io/aptoslabs,2026-07-30,Scanned by the upstream feed without error and produced no qualifying marketing role. This is ABSENCE AS DATA in the methodology's intended sense — the instrument looked and found nothing — as distinct from the instrument not looking.
ledger,3,IN-FEED-TRUE-ABSENCE,no job-postings CSV; no _absence.csv row; no fetch_error; no entry in jobs_seen,"IN scanner config: Ledger, ats=ashby, slug=ledger — scanned successfully, zero roles passing the marketing/seniority filter",https://jobs.ashbyhq.com/ledger,2026-07-30,"Scanned by the upstream feed without error and produced no qualifying marketing role. This is ABSENCE AS DATA in the methodology's intended sense — the instrument looked and found nothing — as distinct from the instrument not looking. *** YESTERDAY'S 'WORST CASE IN THIS AUDIT' DIAGNOSIS IS WITHDRAWN. *** The 2026-07-29 audit stated 'the firm is simply not in the upstream company list.' It is in the list, with the correct Ashby slug, and has been scanned without error. Ledger's class-1 silence is therefore a REAL ABSENCE OF QUALIFYING MARKETING ROLES, not an instrument failure — which makes it a far more interesting datum, given that the same firm was found on 2026-07-29 to hold an NBA jersey patch, a national US TV buy, an in-house studio and an EVP of Marketing. Marketing-visible and not hiring marketing, in the same window."
polygon,2,IN-FEED-TRUE-ABSENCE,no job-postings CSV; no _absence.csv row; no fetch_error; no entry in jobs_seen,"IN scanner config: Polygon Labs, ats=ashby, slug=polygon-labs — scanned successfully, zero roles passing the marketing/seniority filter",https://jobs.ashbyhq.com/polygon-labs,2026-07-30,"Scanned by the upstream feed without error and produced no qualifying marketing role. This is ABSENCE AS DATA in the methodology's intended sense — the instrument looked and found nothing — as distinct from the instrument not looking. Cross-class note: this firm has a 2026-07-16 layoff row in the corpus. A contraction plus zero qualifying marketing reqs is a COHERENT pair, not a contradiction — and now that the feed status is verified, class 1 and class 5 can be read together for this firm."
